Circle, center: $center, radius: $radius cm#Draw a circle of radius $radius with $center as center
Circle, center: $center, radius: $radius cm#With $center as center draw a circle with radius $radius
Circle, center: $center, radius: $radius cm#Construct a circle of radius $radius whose center is $center
Circle, center: $center, radius: $radius cm#Draw a circle of radius $radius and center $center
Circle, center: $center, radius: $diameter/2 cm#Draw a circle of diameter $diameter and center $center
Circle, center: $center, radius: $diameter/2 cm#Construct a circle of diameter $dimater whose center is $center
Circle, center: $center, radius: $diameter/2 cm#Draw a circle of diameter $diameter with $center as center
Circle, center: $center, radius: $radius cm#Draw a circle of radius $radius and center A
Circle, center: $center, radius: $radius cm#Draw a circle of radius $radius with A as center
Circle, center: $center, radius: $radius cm#With A as center draw a circle with radius $radius
Circle, center: $center, radius: $radius cm#Construct a circle of radius $radius whose center is A
Circle, center: $center, radius: $radius cm#Draw a circle of radius $radius and center B
Circle, center: $center, radius: $radius cm#Draw a circle of radius $radius with B as center
Circle, center: $center, radius: $radius cm#With B as center draw a circle with radius $radius
Circle, center: $center, radius: $radius cm#Construct a circle of radius $radius whose center is B
Circle, center: $center, radius: $radius cm#Draw a circle of radius $radius and center C
Circle, center: $center, radius: $radius cm#Draw a circle of radius $radius with C as center
Circle, center: $center, radius: $radius cm#With C as center draw a circle with radius $radius
Circle, center: $center, radius: $radius cm#Construct a circle of radius $radius whose center is C
Circle, center: $center, radius: $radius cm#Draw a circle of radius $radius and center D
Circle, center: $center, radius: $radius cm#Draw a circle of radius $radius with D as center
Circle, center: $center, radius: $radius cm#With D as center draw a circle with radius $radius
Circle, center: $center, radius: $radius cm#Construct a circle of radius $radius whose center is D
Circle, center: $center, radius: $radius cm#Draw a circle of radius $radius and center E
Circle, center: $center, radius: $radius cm#Draw a circle of radius $radius with E as center
Circle, center: $center, radius: $radius cm#With E as center draw a circle with radius $radius
Circle, center: $center, radius: $radius cm#Construct a circle of radius $radius whose center is E
Circle, center: $center, radius: $radius cm#Draw a circle of radius $radius and center F
